 L. Klostermann,Germany,"CB,RB,RWB",24,,,RB Leipzig,,,,
 R. Nelson,England,"RW,LW,LM",20,,,Arsenal,,,,
 A. Wan-Bissaka,England,"RB,RWB",22,,,Manchester United,,,,
 M. Guendouzi,France,"CDM,CM",21,,,Hertha BSC,,,,
 Kangin Lee,Korea Republic,"ST,CAM,LM",19,,,Valencia CF,,,,
 A. Robertson,Scotland,LB,26,,,Liverpool,,,,
 Richarlison,Brazil,"ST,LW",23,,,Everton,,,,
 Gabriel,Brazil,CB,22,,,Arsenal,,,,
 A. Martial,France,ST,24,,,Manchester United,,,,
 Bryan Gil,Spain,"LM,CAM",19,,,SD Eibar,,,,
 I. Moriba,Guinea,"CM,CAM,CDM",17,,,FC Barcelona,,,,
 K. Diatta,Senegal,"RW,LW,ST",21,,,Club Brugge KV,,,,
 O. Ejaria,England,"N/A,CM,LM,CAM,CM",22,,,Reading,,,,
 P. Højbjerg,Denmark,"CDM,CM",24,,,Tottenham Hotspur,,,,
 S. Milinković-Savić,Serbia,"CM,CDM,CAM",25,,,Lazio,,,,
 Carlos Soler,Spain,"CM,RM,LM",23,,,Valencia CF,,,,
 R. Aït Nouri,France,"LWB,LB",19,,,Wolverhampton Wanderers,,,,
 A. Vranckx,Belgium,"CM,CDM",17,,,KV Mechelen,,,,
 E. Bailly,Ivory Coast,CB,26,,,Manchester United,,,,
 E. Barco,Argentina,"LM,CF",21,,,Atlanta United,,,,
 J. Vagnoman,Germany,"RB,LM,LB",19,,,Hamburger SV,,,,
 M. Obafemi,Republic of Ireland,ST,19,,,Southampton,,,,
 P. Dybala,Argentina,"CF,CAM",26,,,Juventus,,,,
 S. Gnabry,Germany,"RM,LM,RW",24,,,FC Bayern München,,,,
 L. Bailey,Jamaica,"LM,LW",22,,,Bayer 04 Leverkusen,,,,
 R. Lukaku,Belgium,ST,27,,,Inter,,,,
 R. Sessegnon,England,"LWB,LM,LB",20,,,TSG 1899 Hoffenheim,,,,
 S. Lammers,Netherlands,ST,23,,,Atalanta,,,,
 D. Alli,England,"CAM,CM,ST",24,,,Tottenham Hotspur,,,,
 J. Maddison,England,"CAM,CM,LW",23,,,Leicester City,,,,
 H. Lozano,Mexico,"RW,LW",24,,,Napoli,,,,
 M. Thuram,France,"LM,ST",22,,,Borussia Mönchengladbach,,,,
 Tomás Tavares,Portugal,RB,19,,,Deportivo Alavés,,,,
 M. Demiral,Turkey,CB,22,,,Juventus,,,,
 R. Hack,Germany,"LM,CAM",21,,,1. FC Nürnberg,,,,
 T. Nakai,Japan,CAM,16,,,Real Madrid,,,,
 T. Ndombele,France,"CM,CDM,CAM",23,,,Tottenham Hotspur,,,,
 W. Ndidi,Nigeria,"CDM,CM",23,,,Leicester City,,,,
 H. Elliott,England,RW,17,,,Blackburn Rovers,,,,
 J. Vardy,England,ST,33,,,Leicester City,,,,
 J. Ikoné,France,"RM,CAM,ST",22,,,LOSC Lille,,,,
 F. Coman,Romania,LW,22,,,FCSB (Steaua),,,,
 Thiago,Spain,"CM,CDM",29,,,Liverpool,,,,
 H. Çalhanoğlu,Turkey,"CAM,LW",26,,,Milan,,,,
 F. Neuhaus,Germany,CM,23,,,Borussia Mönchengladbach,,,,
 M. Kana,Belgium,"CDM,CB,CM",17,,,RSC Anderlecht,,,,
 O. Richards,England,"LB,LWB,LM",21,,,Reading,,,,
 D. Ings,England,ST,27,,,Southampton,,,,
 M. Simakan,France,"CB,RB",20,,,RC Strasbourg Alsace,,,,
 A. Gómez,Mexico,"LB,CB",18,,,Boavista FC,,,,
 E. Buendía,Argentina,RM,23,,,Norwich City,,,,
 A. Akinfenwa,England,ST,38,,,Wycombe Wanderers,,,,
 Pedro Gonçalves,Portugal,"CM,RW",22,,,Sporting CP,,,,
 G. Montiel,Argentina,"RB,RWB",23,,,River Plate,,,,
 K. Koné,France,CM,19,,,Toulouse Football Club,,,,
 X. Simons,Netherlands,CM,17,,,Paris Saint-Germain,,,,
